"Name;";"PosX;";"PosY;";"Time;"
1;-0,01;-0,01;0,5082402
1;-0,01;-0,01;1,0207
1;0;-0,01;1,528108
1;0;-0,01;2,04684
1;0;-0,01;2,546949
1;0;-0,01;3,060412
1;0;-0,01;3,57412
1;0;-0,01;4,091154
1;-0,01;-0,01;4,606771
1;0;-0,01;5,119332
1;0;-0,01;5,629321
1;-0,01;-0,01;6,137487
1;-0,01;-0,01;6,65396
1;-0,01;-0,01;7,270108
1;0;-0,01;7,793711
1;0;-0,01;8,297733
1;0;-0,01;8,813612
1;0;-0,01;9,324318
1;-0,01;-0,01;9,825959
1;-0,01;-0,01;10,3286
1;-0,01;-0,01;10,82903
1;-0,01;-0,01;11,34612
1;-0,01;-0,01;11,86113
1;-0,01;-0,01;12,37343
1;0;-0,01;12,88146
1;0,01;0;13,38995
1;0,02;0,01;13,89304
1;0,02;0,02;14,39356
1;0,02;0,02;14,90151
1;0,02;0,03;15,40885
1;0,02;0,03;15,91141
1;0,03;0,04;16,41424
1;0,05;0,05;16,92595
1;0,05;0,05;17,43024
1;0,05;0,05;17,94181
1;0,05;0,05;18,44639
1;0,05;0,05;18,95473
1;0,04;0,05;19,4588
1;0,04;0,05;19,97216
1;0,04;0,05;20,47297
1;0,03;0,05;20,98658
1;0,03;0,04;21,50124
1;0,03;0,04;22,01736
1;0,03;0,04;22,52622
1;0,04;0,04;23,03492
1;0,03;0,02;23,53572
1;0,02;0;24,04263
1;-0,01;-0,01;24,54296
1;-0,03;-0,04;25,04603
1;-0,03;-0,06;25,54753
1;-0,03;-0,05;26,06392
1;-0,03;-0,04;26,57687
1;-0,03;-0,04;27,09181
1;-0,02;-0,03;27,6071
1;-0,01;-0,03;28,11952
1;0;-0,03;28,62006
1;0;-0,04;29,12109
1;0;-0,04;29,62141
1;0;-0,03;30,12375
1;0,01;0;30,63842
1;0,04;0,04;31,15405
1;0,05;0,06;31,65424
1;0,05;0,07;32,15462
1;0,05;0,07;32,66768
1;0,05;0,07;33,17243
1;0,05;0,07;33,67931
1;0,05;0,07;34,19827
1;0,04;0,07;34,71621
1;0,04;0,07;35,23653
1;0,05;0,07;35,74847
1;0,05;0,07;36,25111
1;0,04;0,07;36,76245
1;0,04;0,07;37,27582
1;0,04;0,07;37,7986
1;0,04;0,07;38,30848
1;0,04;0,07;38,81027
1;0,04;0,07;39,32522
1;0,05;0,07;39,82615
1;0,05;0,07;40,32754
1;0,05;0,07;40,84304
1;0,05;0,07;41,35925
1;0,05;0,07;41,87965
1;0,05;0,07;42,38067
1;0,05;0,07;42,89166
1;0,05;0,07;43,39337
1;0,05;0,07;43,90815
1;0,04;0,07;44,42209
1;0,04;0,06;44,93845
1;0,04;0,03;45,44925
1;0,03;0,01;45,95446
1;0,01;0;46,45728
1;0,01;0;46,97102
1;0,02;-0,01;47,47117
1;0,05;-0,04;47,98599
1;0,05;-0,05;48,50264
1;0,05;-0,07;49,008
1;0,05;-0,07;49,50893
1;0,02;-0,05;50,01521
1;-0,03;-0,05;50,52018
1;-0,02;-0,05;51,03238
1;0;-0,04;51,53514
1;0;-0,01;52,03869
1;0,02;0,04;52,54116
1;0,05;0,06;53,05508
1;0,05;0,08;53,55869
1;0,05;0,08;54,07989
1;0,05;0,08;54,59368
1;0,05;0,08;55,10318
1;0,06;0,09;55,60432
1;0,06;0,09;56,12008
1;0,06;0,08;56,64038
1;0,05;0,07;57,14282
1;0,05;0,07;57,64292
1;0,05;0,07;58,15919
1;0,04;0,07;58,66867
1;0,04;0,08;59,17881
1;0,05;0,09;59,69118
1;0,05;0,08;60,20728
1;0,05;0,08;60,72154
1;0,05;0,08;61,22234
1;0,05;0,08;61,72823
1;0,05;0,08;62,23804
1;0,05;0,08;62,7509
1;0,05;0,08;63,2634
1;0,04;0,08;63,76696
1;0,04;0,09;64,2812
1;0,04;0,11;64,79362
1;0,04;0,11;65,29371
1;0,04;0,09999999;65,7948
1;0,04;0,09;66,30873
1;0,04;0,09;66,81831
1;0,04;0,09;67,32865
1;0,04;0,09;67,82935
1;0,04;0,08;68,34294
1;0,05;0,07;68,84572
1;0,05;0,07;69,36055
1;0,04;0,06;69,87368
1;0,04;0,06;70,37605
1;0,05;0,05;70,89082
1;0,05;0,05;71,39276
1;0,05;0,05;71,89463
1;0,05;0,05;72,39828
1;0,05;0,06;72,89909
1;0,04;0,08;73,40442
1;0,04;0,09999999;73,92681
1;0,05;0,11;74,44265
1;0,04;0,12;74,94523
1;0,03;0,13;75,45401
1;0,03;0,13;75,95835
1;0,03;0,14;76,4585
1;0,03;0,13;76,97124
1;0,03;0,14;77,47252
1;0,03;0,14;77,97251
1;0,03;0,14;78,48633
1;0,03;0,14;78,98801
1;0,03;0,14;79,50645
1;0,03;0,14;80,01575
1;0,03;0,13;80,52319
1;0,03;0,13;81,03857
1;0,04;0,13;81,53935
1;0,04;0,11;82,04291
1;0,04;0,09999999;82,56654
1;0,04;0,09999999;83,0715
1;0,04;0,09999999;83,58702
1;0,04;0,09999999;84,08946
1;0,03;0,11;84,59959
1;0,03;0,11;85,10353
1;0,04;0,11;85,62218
1;0,04;0,11;86,13614
1;0,04;0,09999999;86,63628
1;0,05;0,09999999;87,1507
1;0,05;0,09999999;87,6527
1;0,05;0,12;88,1538
1;0,05;0,12;88,6719
1;0,04;0,11;89,18495
1;0,04;0,11;89,69
1;0,04;0,11;90,20201
1;0,03;0,09999999;90,70316
1;0,03;0,09999999;91,21445
1;0,04;0,11;91,73186
1;0,04;0,11;92,24742
1;0,04;0,11;92,7476
1;0,03;0,11;93,25126
1;0,03;0,11;93,76437
1;0,03;0,11;94,27821
1;0,03;0,11;94,779
1;0,03;0,11;95,28119
1;0,03;0,11;95,81174
1;0,03;0,11;96,31678
1;0,03;0,11;96,82806
1;0,04;0,11;97,32809
1;0,04;0,11;97,83225
1;0,04;0,11;98,34507
1;0,03;0,09999999;98,85873
1;0,03;0,09999999;99,35938
