"Name;";"PosX;";"PosY;";"Time;"
4;0;-0,01;0,5117312
4;0;-0,01;1,033834
4;0;0;1,533837
4;0;0;2,035011
4;0,02;0;2,535642
4;0,01;-0,01;3,061985
4;0,01;-0,03;3,562149
4;0;-0,04;4,062962
4;0;-0,02;4,563181
4;-0,01;-0,02;5,064429
4;-0,02;-0,03;5,564707
4;-0,03;-0,05;6,092585
4;-0,03;-0,05;6,616279
4;-0,02;-0,04;7,142439
4;0;-0,01;7,6709
4;0;0;8,197218
4;0,01;-0,01;8,724633
4;0,01;-0,02;9,239804
4;0,01;-0,01;9,744483
4;0,01;-0,01;10,2575
4;0,02;-0,01;10,7702
4;0,02;0;11,27158
4;0,03;0,01;11,77275
4;0,01;0;12,28584
4;0;0;12,79911
4;0;0;13,31077
4;0;0;13,82485
4;0;-0,01;14,32531
4;0;-0,01;14,84122
4;0;-0,01;15,35175
4;0;-0,01;15,85195
4;0;-0,01;16,35243
4;-0,01;-0,02;16,86635
4;-0,01;-0,02;17,36802
4;-0,01;-0,02;17,88153
4;-0,01;-0,02;18,3818
4;0;-0,02;18,88194
4;0;-0,02;19,39527
4;0;-0,01;19,89573
4;0;-0,01;20,40798
4;0;-0,01;20,92059
4;0;-0,01;21,42156
4;-0,01;0;21,93188
4;-0,01;0,01;22,43269
4;0;0,02;22,94643
4;0,01;0,02;23,46069
4;0,02;0,03;23,97482
4;0,01;0,04;24,48616
4;0,02;0,04;24,98704
4;0,03;0,05;25,50266
4;0,04;0,05;26,01576
4;0,04;0,05;26,52858
4;0,04;0,05;27,04277
4;0,04;0,05;27,55215
4;0,04;0,05;28,05307
4;0,04;0,05;28,55374
4;0,04;0,05;29,05634
4;0,04;0,05;29,56668
4;0,04;0,05;30,0679
4;0,04;0,05;30,58027
4;0,04;0,05;31,08027
4;0,04;0,04;31,58092
4;0,04;0,04;32,09475
4;0,04;0,05;32,59525
4;0,04;0,05;33,10143
4;0,04;0,05;33,60179
4;0,03;0,05;34,10358
4;0,01;0,05;34,60711
4;0,01;0,04;35,10728
4;0,01;0,01;35,62032
4;0;0;36,12061
4;0,01;0;36,62165
4;0;0;37,13614
4;-0,01;-0,01;37,64718
4;-0,02;-0,02;38,14954
4;-0,03;-0,03;38,66278
4;-0,03;-0,04;39,17653
4;-0,04;-0,04;39,69131
4;-0,04;-0,04;40,20275
4;-0,04;-0,04;40,71692
4;-0,04;-0,04;41,21934
4;-0,02;-0,03;41,72867
4;0;-0,02;42,23021
4;0,01;-0,01;42,73056
4;0,02;-0,03;43,24467
4;0,02;-0,02;43,75758
4;0,01;-0,02;44,25768
4;0,01;-0,02;44,75835
4;0,01;-0,02;45,27284
4;0,01;-0,02;45,78654
4;0,03;-0,03;46,28926
4;0,02;-0,03;46,8035
4;0,01;-0,01;47,31503
4;0,01;0;47,82691
4;0,01;-0,02;48,3281
4;0,01;-0,02;48,8422
4;0,02;-0,02;49,35648
4;0,03;-0,04;49,85672
4;0,04;-0,04;50,36868
4;0,04;-0,04;50,86951
4;0,04;-0,04;51,36952
4;0,04;-0,03;51,88419
4;0,04;-0,03;52,39714
4;0,04;-0,02;52,90928
4;0,04;-0,02;53,42274
4;0,04;-0,02;53,92341
4;0,04;-0,03;54,43646
4;0,05;-0,06;54,93655
4;0,05;-0,06;55,45001
4;0,05;-0,04;55,95377
4;0,04;-0,03;56,46558
4;0,03;0;56,96599
4;0,03;-0,01;57,47966
4;0,03;-0,02;57,98069
4;0,03;-0,02;58,49704
4;0,04;-0,02;59,00656
4;0,04;-0,02;59,50746
4;0,04;-0,02;60,02068
4;0,04;-0,02;60,52134
4;0,04;-0,02;61,03383
4;0,04;-0,01;61,53495
4;0,03;0,01;62,04761
4;0,03;0,02;62,56298
4;0,04;0,03;63,07625
4;0,05;0,04;63,57762
4;0,05;0,05;64,08948
4;0,05;0,05;64,59116
4;0,05;0,05;65,10294
4;0,05;0,05;65,60419
4;0,05;0,05;66,11514
4;0,05;0,05;66,61635
4;0,05;0,05;67,1169
4;0,05;0,05;67,61996
4;0,05;0,05;68,12978
4;0,04;0,06;68,63086
4;0,04;0,05;69,1419
4;0,03;0,04;69,65525
4;0,03;0,04;70,15565
4;0,04;0,04;70,66788
4;0,04;0,04;71,16829
4;0,04;0,04;71,68161
4;0,04;0,04;72,18225
4;0,04;0,04;72,69507
4;0,04;0,04;73,19685
4;0,04;0,04;73,70835
4;0,04;0,04;74,20901
4;0,04;0,04;74,72386
4;0,04;0,04;75,22546
4;0,03;0,04;75,73929
4;0,02;0,05;76,25127
4;0,02;0,05;76,75182
4;0,02;0,05;77,26723
4;0,02;0,05;77,77878
4;0,02;0,05;78,27915
4;0,02;0,05;78,79133
4;0,03;0,05;79,29137
4;0,04;0,04;79,79234
4;0,04;0,04;80,30613
4;0,04;0,04;80,80626
4;0,04;0,05;81,32014
4;0,03;0,07;81,83348
4;0,02;0,07;82,34581
4;0,03;0,08;82,84764
4;0,03;0,09;83,36085
4;0,04;0,09;83,86118
4;0,04;0,09;84,36813
4;0,04;0,09;84,87264
4;0,04;0,09999999;85,37452
4;0,04;0,11;85,88724
4;0,04;0,13;86,38802
4;0,04;0,14;86,90123
4;0,04;0,14;87,4146
4;0,04;0,14;87,91473
4;0,04;0,15;88,42743
4;0,03;0,16;88,94245
4;0,03;0,17;89,45461
4;0,03;0,17;89,96809
4;0,04;0,17;90,46837
4;0,05;0,17;90,96925
4;0,04;0,17;91,48315
4;0,04;0,16;91,99563
4;0,03;0,16;92,49972
4;0,04;0,16;93,01088
4;0,04;0,17;93,52303
4;0,04;0,17;94,03676
4;0,04;0,17;94,55009
4;0,05;0,18;95,05012
4;0,04;0,19;95,56405
4;0,04;0,2;96,06538
4;0,04;0,19;96,57848
4;0,04;0,19;97,07867
4;0,04;0,19;97,59135
4;0,04;0,19;98,09215
4;0,04;0,19;98,60522
4;0,04;0,19;99,1186
4;0,04;0,19;99,63151
4;0,03;0,2;100,1318
4;0,04;0,19;100,6459
4;0,04;0,19;101,146
4;0,04;0,19;101,6461
4;0,04;0,19;102,1601
4;0,04;0,19;102,6603
4;0,04;0,19;103,1733
4;0,04;0,19;103,6859
4;0,04;0,19;104,2006
4;0,04;0,19;104,713
4;0,04;0,19;105,2132
4;0,04;0,19;105,7143
4;0,04;0,19;106,2276
4;0,04;0,19;106,7276
4;0,04;0,19;107,2406
4;0,04;0,19;107,7542
4;0,04;0,19;108,2548
4;0,03;0,19;108,7553
4;0,03;0,19;109,2675
4;0,03;0,19;109,7682
4;0,03;0,19;110,2817
4;0,03;0,19;110,7961
4;0,03;0,19;111,3093
4;0,03;0,19;111,8237
4;0,03;0,19;112,3387
4;0,04;0,19;112,8504
4;0,04;0,19;113,3644
4;0,04;0,19;113,8644
4;0,04;0,19;114,3781
4;0,04;0,19;114,8911
4;0,04;0,19;115,4055
4;0,04;0,19;115,9062
4;0,03;0,19;116,4209
4;0,04;0,19;116,9327
